[INFO] [1788546603.327555055] [robot_state_publisher]: Robot initialized
[WARN] [1788546608.978249712] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.042407650] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.051122806] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.079029637] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.160549384] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.165668767] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.170667606] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.180158859] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.207932730] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.274028618] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.292548157] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.295687463] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.309196704] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.309432750] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.318094696] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.343912240] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.437919710] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.453331610] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.495481195] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.498056116] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.502322984] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.525245352] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.569370097] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.588611649] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.597160594] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.606796932] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.620099086] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.642762532] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.661657245] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.716500890] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546609.722773836] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
