[INFO] [1788374923.424702494] [robot_state_publisher]: Robot initialized
[WARN] [1788374924.289100387] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374924.326345958] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374924.477828292] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374924.499899750] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374924.507367747] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374924.513489074] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374924.514329717] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374924.514621917] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374924.524471638] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374924.539003268] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374924.548536581] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374924.587528685] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374924.621159108] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374924.641346328] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374924.664412924] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374924.745405047] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374924.760239044] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.345424761] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.351315261] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.366711450] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.385038931] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.391786490] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.434317660] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.442432889] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.461678802] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.496542190] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.501537465] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.503103670] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.508366105] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.508622264] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.509224289] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.647348293] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.651643880] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.774930430] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.879134937] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.880487565] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374925.904857500] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.046674692] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.049947307] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.175028765] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.320717305] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.324770190] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.325345924] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.373464520] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.436393237] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.451785676] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.509926446] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.527919562] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.557149984] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.576003158] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.594973163] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.740608621] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.858861272] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.888082069] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.949185214] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.967422364] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.967974640] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374926.997349766] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.028133353] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.029842554] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.035107030] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.041523973] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.086297039] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.165290926] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.166099362] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.237575712] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.303892501] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.435734058] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.448392783] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.449987613] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.462707419] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.463205364] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.464724237] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.543787623] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.547785426] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.584363224] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.589106631] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.636397292] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.745359081] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.825554976] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.830995530] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.831468350] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.831605221] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.839336044] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.925555852] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.932348451] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.932499114] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374927.935191454] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.058181512] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.092739825] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.108430964] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.158536712] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.158892827] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.160402784] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.179480160] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.238366076] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.326339876] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.343238855] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.348492790] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.363881771] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.401937985] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.447765353] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.506261780] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.510479494] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.592315634] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.669051336] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.686528799] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.700306784] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.704495624] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.762727808] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.782749032] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.783267143] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.806516651] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.827346478] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.874306398] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374928.887166908] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.124348566] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.159329700] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.159418156] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.160470209] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.167678630] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.212637607] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.213006971] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.216523580] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.216769240] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.218174408] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.343863807] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.389336311] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.395285184] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.432716582] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.551743461] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.566729661] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.595795338] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.600583994] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.600637659] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.602790932] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.604683836] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.612691485] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.661706680] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.661798719] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.729339806] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.879298392] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374929.889312733] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374930.021379909] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374930.059535120] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374930.060532884] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374930.101388602] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374930.147135973] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374930.230229869] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374930.305388032] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374930.477732859] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374930.543363042] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374930.584005933] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374930.639718188] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374930.714306284] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374930.747311391] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374930.763433393] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374930.838005989] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374930.871532581] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374930.907347317] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374931.018126304] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374931.037541587] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374931.106297557] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374931.111319123] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374931.158248919] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374931.180392375] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374931.222314104] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374931.257841431] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374931.336429039] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374931.400467183] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374931.463485190] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374931.512362181] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374931.579119624] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374931.619448106] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374931.620371705] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374931.691443276] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374931.822425816] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374931.879624737] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374931.923753363] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374932.032450576] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374932.044319615] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374932.044840225] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374932.055316595] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374932.061457213] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374932.103698183] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374932.162293898] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374932.243835797] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374932.283939578] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374932.294555361] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374932.319037750] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374932.319153081] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788374932.326476165] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
